Day,Month,Year,Avg_Temp,Max_Temp,Min_Temp,Atm_Pressure_sealevel,Avg_Relative_Humidity,Total_rainfall_snowmelt,Avg_Visibility,Avg_Windspeed,Max_Windspeed
1,12,2016,26.4,31,24,-,85,-,8.7,8,27.8
2,12,2016,26.4,30,24,-,89,-,8.5,5.2,14.8
3,12,2016,27.8,32,25,-,77,0,9.3,8.7,18.3
4,12,2016,27.7,32,24,-,79,0,9.3,6.5,14.8
5,12,2016,28.1,32,24,-,76,-,9.7,8.5,27.8
6,12,2016,27.6,33,25,-,82,-,9,6.5,16.5
7,12,2016,26.3,31,25,-,92,-,7.4,5.6,11.1
8,12,2016,27.3,31,24,-,81,0,8.5,5.4,9.4
9,12,2016,27,32,24,-,83,-,8.2,6.9,24.1
10,12,2016,27.1,30,24,-,77,-,7.2,5.2,9.4
11,12,2016,25.7,27,24,-,88,-,8,9.1,16.5
12,12,2016,24.9,27,23,-,96,-,6.9,12.6,18.3
13,12,2016,24.2,26,24,-,100,-,7.1,9.8,16.5
14,12,2016,26.2,29,24,-,93,-,8,7,14.8
15,12,2016,27.3,31,25,-,85,0,9.7,11.1,18.3
16,12,2016,26.9,30,23,-,84,-,7.9,6.5,16.5
17,12,2016,27.4,32,24,-,64,0,9.7,9.3,14.8
18,12,2016,26.2,29,24,-,81,-,9.5,6.9,18.3
19,12,2016,26.8,30,24,-,81,-,9.2,6.3,14.8
20,12,2016,27.8,31,25,-,82,0,7.2,5.2,11.1
21,12,2016,26.4,30,24,-,90,-,8.2,5.6,24.1
22,12,2016,28.7,34,24,-,72,0,8.7,5.7,16.5
23,12,2016,28.1,33,23,-,75,0,8.4,6.3,14.8
24,12,2016,28.3,33,25,-,77,0,7.1,4.4,14.8
25,12,2016,27.6,32,25,-,84,0,8.5,6.1,14.8
26,12,2016,27.8,33,24,-,74,0,8.7,7.4,14.8
27,12,2016,26.9,33,23,-,64,0,9.5,8.3,14.8
28,12,2016,25.3,30,22,-,66,0,10,10.2,14.8
29,12,2016,26.4,31,22,-,64,0,10,10.4,16.5
30,12,2016,27.3,31,23,-,66,0,10,10.7,14.8
31,12,2016,27.3,31,23,-,66,0,10,10.7,14.8
